Date,Open,High,Low,Close,Adj Close,Volume
2022-12-22,65.540001,65.849998,64.919998,65.820000,62.796963,5739000
2022-12-23,65.940002,66.400002,65.849998,66.379997,63.331249,3687900
2022-12-28,66.480003,66.680000,65.320000,65.440002,62.434418,13099800
2022-12-29,65.599998,66.669998,65.459999,66.629997,63.569759,9330200
2022-12-30,66.500000,66.610001,65.769997,66.339996,63.293079,4108200
2023-01-03,66.000000,66.250000,64.919998,65.190002,63.176788,6490400
2023-01-04,65.470001,66.730003,65.419998,66.410004,64.359116,8879300
2023-01-05,66.400002,66.559998,66.000000,66.519997,64.465714,3517700
2023-01-06,66.699997,67.680000,66.589996,67.190002,65.115021,3859300
2023-01-09,67.489998,67.730003,67.050003,67.290001,65.211937,3846700
2023-01-10,67.379997,67.699997,67.220001,67.610001,65.522049,3937400
2023-01-11,67.879997,68.300003,67.440002,67.739998,65.648033,5032700
2023-01-12,68.110001,68.739998,67.930000,68.559998,66.442711,5310200
2023-01-13,68.180000,69.250000,67.930000,69.190002,67.053261,4132700
2023-01-16,69.209999,69.720001,69.129997,69.580002,67.431213,10165000
2023-01-17,69.599998,69.860001,69.190002,69.650002,67.499054,6747700
2023-01-18,69.800003,70.320000,69.129997,69.220001,67.082329,8581400
2023-01-19,68.800003,69.000000,68.449997,68.959999,66.830360,3859700
2023-01-20,69.010002,69.190002,68.610001,69.190002,67.053261,5243400
2023-01-23,69.230003,69.779999,68.809998,69.610001,67.460289,5319000
2023-01-24,69.500000,69.620003,69.129997,69.419998,67.276146,3408200
2023-01-25,69.199997,70.419998,69.139999,70.110001,67.944847,4524600
2023-01-26,70.169998,71.199997,70.139999,71.199997,69.001183,4463800
2023-01-27,71.260002,71.440002,70.639999,70.970001,68.778290,4858200
2023-01-30,70.669998,71.099998,70.669998,71.050003,68.855820,4166500
2023-01-31,71.250000,72.040001,70.989998,72.029999,69.805550,3378200
2023-02-01,72.059998,72.660004,71.760002,72.349998,70.115669,3121300
2023-02-02,72.559998,73.519997,72.199997,73.389999,71.123550,3513100
2023-02-03,73.500000,73.699997,72.949997,73.360001,71.094475,3120600
2023-02-06,73.160004,73.199997,72.529999,72.820000,70.571152,2731700
2023-02-07,72.559998,74.000000,72.300003,73.750000,71.472435,3266900
2023-02-08,73.559998,74.180000,73.050003,73.220001,70.958801,2443100
2023-02-09,73.500000,73.809998,72.849998,73.120003,70.861893,2325100
2023-02-10,72.800003,73.629997,72.699997,73.570000,71.297997,1713900
2023-02-13,73.589996,74.330002,73.550003,74.160004,71.869781,2537300
